  codigo operacion    codigo funcion      banderas alu     clr      lf  microinstruccion       nivel
            00000             0000             0000        1         0  00001000000001110001    bajo
            00000             0000             0000        1         0  00000100010000110011    alto
            00000             0000             0000        0         0  00000100010000110011    bajo
            00000             0000             0000        0         0  00000100010000110011    bajo
            01101             1111             0000        0         1  00000100010000110011    alto
            01101             1111             0000        0         1  00001000000001110001    bajo
            01101             1011             0010        0         1  00001000000001110001    alto
            01101             1011             0010        0         1  00001000000001110001    alto
            01101             1101             0010        0         1  10010000001100110011    bajo
            01101             1101             0010        0         1  10010000001100110011    bajo
            01110             1110             0010        0         1  00001000000001110001    alto
            01110             1110             0010        0         1  00001000000001110001    bajo
            01110             1100             0000        0         1  00001000000001110001    alto
            01110             1100             0000        0         1  00001000000001110001    alto
            01110             0011             0000        0         1  10010000001100110011    bajo
            01110             0011             0000        0         1  00001000000001110001    alto
            01111             0001             1100        0         1  10010000001100110011    bajo
            01111             0001             1100        0         1  10010000001100110011    bajo
            01111             0000             1000        0         1  00001000000001110001    alto
            01111             0000             1000        0         1  00001000000001110001    alto
            01111             0010             0100        0         1  10010000001100110011    bajo
            01111             0010             0100        0         1  00001000000001110001    alto
            10000             0100             0000        0         1  10010000001100110011    bajo
            10000             0100             0000        0         1  10010000001100110011    bajo
